               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023979,            0.016013,           0.0023775,              0.9987,                   1,               0.995,             0.84927,             0.01652,           0.0078203,           0.0021257,            0.007543,            0.007543,            0.007543
                  37,            0.021674,            0.014258,           0.0025203,             0.99903,                   1,               0.995,             0.83917,            0.014969,           0.0069032,           0.0023066,            0.007416,            0.007416,            0.007416
                  38,            0.021371,             0.01407,           0.0024278,             0.99961,                   1,               0.995,             0.84062,            0.015418,           0.0070104,            0.001403,           0.0072872,           0.0072872,           0.0072872
                  39,            0.022759,            0.015166,           0.0018646,             0.99905,                   1,               0.995,             0.83196,            0.016856,           0.0080703,           0.0010695,           0.0071566,           0.0071566,           0.0071566
                  40,            0.020225,            0.014572,           0.0016467,             0.99931,                   1,               0.995,             0.77075,            0.016447,           0.0078475,           0.0010354,           0.0070243,           0.0070243,           0.0070243
                  41,            0.020996,            0.015235,           0.0019978,             0.99867,                   1,               0.995,             0.86243,            0.016512,           0.0074649,           0.0010156,           0.0068906,           0.0068906,           0.0068906
                  42,            0.019734,            0.013608,           0.0019819,             0.99845,                   1,               0.995,             0.85111,            0.014953,           0.0076189,           0.0010949,           0.0067555,           0.0067555,           0.0067555
                  43,            0.019918,            0.013988,           0.0018086,             0.99816,                   1,               0.995,             0.83742,            0.017206,           0.0078209,           0.0010862,           0.0066191,           0.0066191,           0.0066191
                  44,            0.020674,            0.014078,           0.0019971,              0.9982,                   1,               0.995,             0.85565,            0.016659,           0.0073486,          0.00092509,           0.0064816,           0.0064816,           0.0064816
                  45,            0.019921,            0.013888,           0.0016739,             0.99938,                   1,               0.995,              0.8107,            0.018619,           0.0077278,          0.00079188,           0.0063432,           0.0063432,           0.0063432
                  46,            0.019409,            0.013587,           0.0021398,             0.99925,                   1,               0.995,             0.86192,             0.01503,           0.0074532,           0.0012396,            0.006204,            0.006204,            0.006204
                  47,             0.01889,            0.013703,           0.0023029,             0.99815,                   1,               0.995,             0.83643,            0.016657,           0.0072191,           0.0022492,            0.006064,            0.006064,            0.006064
                  48,            0.017588,            0.013301,           0.0023019,             0.99846,                   1,               0.995,             0.83676,            0.016365,           0.0073474,           0.0010982,           0.0059235,           0.0059235,           0.0059235
                  49,             0.01953,             0.01424,           0.0015086,             0.99875,                   1,               0.995,             0.84108,            0.018694,            0.007216,          0.00093637,           0.0057826,           0.0057826,           0.0057826
                  50,            0.017759,            0.013771,           0.0015418,             0.99928,                   1,               0.995,             0.87215,            0.013588,           0.0068539,          0.00089066,           0.0056413,           0.0056413,           0.0056413
                  51,            0.018389,            0.013506,           0.0014208,             0.99918,                   1,               0.995,             0.85973,            0.020559,           0.0071911,           0.0010595,              0.0055,              0.0055,              0.0055
                  52,            0.018839,            0.013733,           0.0015297,             0.99805,                   1,               0.995,             0.86049,            0.015098,           0.0067759,           0.0015431,           0.0053587,           0.0053587,           0.0053587
                  53,            0.017465,            0.012736,            0.001503,             0.99867,                   1,               0.995,             0.84398,            0.015426,            0.006586,           0.0013643,           0.0052174,           0.0052174,           0.0052174
                  54,             0.01725,            0.012651,           0.0012286,             0.99985,                   1,               0.995,              0.8712,            0.014394,            0.006488,          0.00087602,           0.0050765,           0.0050765,           0.0050765
                  55,            0.017887,            0.013954,            0.001488,             0.99994,                   1,               0.995,             0.85347,            0.018455,           0.0071642,          0.00064969,            0.004936,            0.004936,            0.004936
                  56,            0.015856,            0.012154,           0.0011565,             0.99892,                   1,               0.995,             0.84894,            0.015822,           0.0066419,          0.00055811,            0.004796,            0.004796,            0.004796
                  57,            0.016766,            0.012936,           0.0011642,             0.99873,                   1,               0.995,             0.85394,            0.013615,           0.0066966,          0.00057169,           0.0046568,           0.0046568,           0.0046568
                  58,            0.017047,            0.013266,           0.0010446,             0.99899,                   1,               0.995,             0.82236,            0.015694,           0.0069025,          0.00062379,           0.0045184,           0.0045184,           0.0045184
                  59,            0.016736,            0.013504,           0.0011997,             0.99915,                   1,               0.995,             0.82751,            0.015163,            0.006828,          0.00076273,           0.0043809,           0.0043809,           0.0043809
                  60,            0.016917,            0.013144,           0.0011579,             0.99944,                   1,               0.995,             0.85945,            0.014077,           0.0064194,          0.00068873,           0.0042445,           0.0042445,           0.0042445
